Location,Recipe,Ingredients,Spicy,Keto,High Protein,GlutenFree
Zogtron,Zogtron Hearty Stew,Orange; Pear; Carrot; Broccoli; Pumpkin; Rice; Barley; Quinoa (Keto); Soybeans (GlutenFree); Walnut; Sesame Seeds; Sage (High Protein); Oregano; Celery (Keto); Eggplant; Artichoke; Escarole; Ginger; Turmeric; Horseradish; Yam; Jerusalem Artichoke; Lychee; Passion Fruit; Dragonfruit; Brazil Nut (Spicy); Lotus Root; Nori; Kombu; Alfalfa Sprouts; Mung Bean Sprouts (High Protein); Watercress; Mulberry; Ackee; Sapote; Santol; Wolfberry; Winter Melon (GlutenFree); Snake Gourd (Keto); Buckwheat; Black Beans; Navy Beans (Spicy); Chickpea; Cannellini Bean; Lima Bean; Soybean; Sea Kale; Lovage; Tarragon; Ramsons; Marshmallow (GlutenFree); Carnation; Rose (GlutenFree),False,False,False,False
Zogtron,Zogtron Fusion Medley,Orange; Pear; Carrot; Broccoli,False,False,False,False
Zogtron,Zogtron Special GlutenFree,Soybeans (GlutenFree); Marshmallow (GlutenFree); Winter Melon (GlutenFree); Rose (GlutenFree),False,False,False,True
Xyloria,Xyloria Hearty Stew,Apple; Zucchini; Sweet Potato; Wheat; Almond; Basil (GlutenFree); Parsley; Thyme (GlutenFree); Dill; Fennel; Chili Pepper; Arugula; Green Onion; Shallot; Blueberry; Starfruit; Tamarind (GlutenFree); Cashew; Pistachio; Betel Nut; Figs; Seaweed; Wakame; Quail Grass (Spicy); Agave; Aloe Vera (Spicy); Rose Hips; Elderberry; Breadnut; Longan; Bitter Melon; Einkorn; Triticale; Fonio; Cranberry Beans; Black-Eyed Peas; Sweet Violet; Chrysanthemum (High Protein); Lavender; Pansy; Sunflower,False,False,False,False
Xyloria,Xyloria Fusion Medley,Apple; Zucchini; Sweet Potato; Wheat,False,False,False,False
Nebulon,Nebulon Hearty Stew,Mango; Papaya (GlutenFree); Watermelon; Tomato; Kale; Swiss Chard (Spicy); Radish; Cabbage (GlutenFree); Squash (Keto); Corn (GlutenFree); Lentils; Flax Seeds; Rosemary; Lavender; Endive (High Protein); Garlic (GlutenFree); Dandelion Greens; Cranberry; Raspberry; Fig (GlutenFree); Guava; Macadamia Nut; Vanilla; Dates; Olives; Chestnut; Taro; Burdock Root; Cattail (Keto); Plantain; Jujube (Keto); Acerola; Sorghum (Keto); Pinto Beans; Lentils; Split Peas; Fava Bean; Peanuts; Wasabi; Wild Garlic; Stinging Nettle; Pokeweed; Blue Cornflower; Borage; Chamomile (GlutenFree); Safflower,False,False,False,False
Nebulon,Nebulon Fusion Medley,Mango; Papaya (GlutenFree); Watermelon; Tomato,False,False,False,False
Nebulon,Nebulon Special Keto,Sorghum (Keto); Squash (Keto); Jujube (Keto); Cattail (Keto),False,True,False,False
Nebulon,Nebulon Special GlutenFree,Chamomile (GlutenFree); Garlic (GlutenFree); Cabbage (GlutenFree); Papaya (GlutenFree),False,False,False,True
Quarzon,Quarzon Hearty Stew,Banana; Cucumber; Avocado; Spinach; Cauliflower (GlutenFree); Brussels Sprouts (Spicy); Peas (Keto); Beans; Pecan; Hazelnut; Chia Seeds; Mint; Bell Pepper; Leek (High Protein); Onion; Daikon; Malabar Spinach; Purslane; Sorrel; Rhubarb; Gooseberry; Blackberry; Kiwi; Durian; Breadfruit (Keto); Carob; Coffee Bean; Caper; Cassava; Bamboo Shoots; Prickly Pear Cactus; Hibiscus; Ackee (Spicy); Mangosteen; Salak (High Protein); Aronia (Spicy); Tamarillo; Pepino (Keto); Spelt (High Protein); Millet; Farro; Adzuki Beans; Winged Bean; Hyacinth Bean; Pea Shoots; Sassafras; Calendula; Marigold,False,False,False,False
Quarzon,Quarzon Fusion Medley,Banana; Cucumber; Avocado; Spinach,False,False,False,False
Vortax,Vortax Hearty Stew,Peach; Pineapple; Lettuce; Beet Greens (GlutenFree); Potato; Oats; Chickpeas (High Protein); Chestnut; Sunflower Seeds; Cilantro; Tarragon; Lemon Balm; Okra (High Protein); Asparagus; Bok Choy; Mustard Greens; Collard Greens (GlutenFree); Turnip (GlutenFree); Rutabaga; Parsnip (GlutenFree); Kohlrabi; Nasturtium; Currant; Strawberry; Mulberry; Rambutan; Jackfruit; Pomegranate; Coconut (GlutenFree); Cocoa Bean; Arrowroot; Chickweed; Amaranth (GlutenFree); Lamb's Quarters; Loquat; Miracle Fruit; Medlar (Keto); Chayote; Sponge Gourd; Teff; Rye (Spicy); Kamut (GlutenFree); Wild Rice; Kidney Beans; Lupin Beans; Mung Bean; Lemon Thyme; Hops (High Protein); Nasturtium (GlutenFree); Zucchini Blossoms (Keto),False,False,False,False
Vortax,Vortax Fusion Medley,Peach; Pineapple; Lettuce; Beet Greens (GlutenFree),False,False,False,False
Vortax,Vortax Special GlutenFree,Nasturtium (GlutenFree); Parsnip (GlutenFree); Coconut (GlutenFree); Collard Greens (GlutenFree),False,False,False,True
Blipton,Blipton Hearty Stew,Orange; Pear; Carrot; Broccoli; Pumpkin; Rice; Barley; Quinoa (Keto); Soybeans (GlutenFree); Walnut; Sesame Seeds; Sage (High Protein); Oregano; Celery (Keto); Eggplant; Artichoke; Escarole; Ginger; Turmeric; Horseradish; Yam; Jerusalem Artichoke; Lychee; Passion Fruit; Dragonfruit; Brazil Nut (Spicy); Lotus Root; Nori; Kombu; Alfalfa Sprouts; Mung Bean Sprouts (High Protein); Watercress; Mulberry; Ackee; Sapote; Santol; Wolfberry; Winter Melon (GlutenFree); Snake Gourd (Keto); Buckwheat; Black Beans; Navy Beans (Spicy); Chickpea; Cannellini Bean; Lima Bean; Soybean; Sea Kale; Lovage; Tarragon; Ramsons; Marshmallow (GlutenFree); Carnation; Rose (GlutenFree),False,False,False,False
Blipton,Blipton Fusion Medley,Orange; Pear; Carrot; Broccoli,False,False,False,False
Blipton,Blipton Special GlutenFree,Soybeans (GlutenFree); Marshmallow (GlutenFree); Winter Melon (GlutenFree); Rose (GlutenFree),False,False,False,True
Glimmeria,Glimmeria Hearty Stew,Apple; Zucchini; Sweet Potato; Wheat; Almond; Basil (GlutenFree); Parsley; Thyme (GlutenFree); Dill; Fennel; Chili Pepper; Arugula; Green Onion; Shallot; Blueberry; Starfruit; Tamarind (GlutenFree); Cashew; Pistachio; Betel Nut; Figs; Seaweed; Wakame; Quail Grass (Spicy); Agave; Aloe Vera (Spicy); Rose Hips; Elderberry; Breadnut; Longan; Bitter Melon; Einkorn; Triticale; Fonio; Cranberry Beans; Black-Eyed Peas; Sweet Violet; Chrysanthemum (High Protein); Lavender; Pansy; Sunflower,False,False,False,False
Glimmeria,Glimmeria Fusion Medley,Apple; Zucchini; Sweet Potato; Wheat,False,False,False,False
Zyphor,Zyphor Hearty Stew,Mango; Papaya (GlutenFree); Watermelon; Tomato; Kale; Swiss Chard (Spicy); Radish; Cabbage (GlutenFree); Squash (Keto); Corn (GlutenFree); Lentils; Flax Seeds; Rosemary; Lavender; Endive (High Protein); Garlic (GlutenFree); Dandelion Greens; Cranberry; Raspberry; Fig (GlutenFree); Guava; Macadamia Nut; Vanilla; Dates; Olives; Chestnut; Taro; Burdock Root; Cattail (Keto); Plantain; Jujube (Keto); Acerola; Sorghum (Keto); Pinto Beans; Lentils; Split Peas; Fava Bean; Peanuts; Wasabi; Wild Garlic; Stinging Nettle; Pokeweed; Blue Cornflower; Borage; Chamomile (GlutenFree); Safflower,False,False,False,False
Zyphor,Zyphor Fusion Medley,Mango; Papaya (GlutenFree); Watermelon; Tomato,False,False,False,False
Zyphor,Zyphor Special Keto,Squash (Keto); Cattail (Keto); Jujube (Keto); Sorghum (Keto),False,True,False,False
Zyphor,Zyphor Special GlutenFree,Fig (GlutenFree); Papaya (GlutenFree); Corn (GlutenFree); Chamomile (GlutenFree),False,False,False,True
Krellon,Krellon Hearty Stew,Banana; Cucumber; Avocado; Spinach; Cauliflower (GlutenFree); Brussels Sprouts (Spicy); Peas (Keto); Beans; Pecan; Hazelnut; Chia Seeds; Mint; Bell Pepper; Leek (High Protein); Onion; Daikon; Malabar Spinach; Purslane; Sorrel; Rhubarb; Gooseberry; Blackberry; Kiwi; Durian; Breadfruit (Keto); Carob; Coffee Bean; Caper; Cassava; Bamboo Shoots; Prickly Pear Cactus; Hibiscus; Ackee (Spicy); Mangosteen; Salak (High Protein); Aronia (Spicy); Tamarillo; Pepino (Keto); Spelt (High Protein); Millet; Farro; Adzuki Beans; Winged Bean; Hyacinth Bean; Pea Shoots; Sassafras; Calendula; Marigold,False,False,False,False
Krellon,Krellon Fusion Medley,Banana; Cucumber; Avocado; Spinach,False,False,False,False
Thaloria,Thaloria Hearty Stew,Peach; Pineapple; Lettuce; Beet Greens (GlutenFree); Potato; Oats; Chickpeas (High Protein); Chestnut; Sunflower Seeds; Cilantro; Tarragon; Lemon Balm; Okra (High Protein); Asparagus; Bok Choy; Mustard Greens; Collard Greens (GlutenFree); Turnip (GlutenFree); Rutabaga; Parsnip (GlutenFree); Kohlrabi; Nasturtium; Currant; Strawberry; Mulberry; Rambutan; Jackfruit; Pomegranate; Coconut (GlutenFree); Cocoa Bean; Arrowroot; Chickweed; Amaranth (GlutenFree); Lamb's Quarters; Loquat; Miracle Fruit; Medlar (Keto); Chayote; Sponge Gourd; Teff; Rye (Spicy); Kamut (GlutenFree); Wild Rice; Kidney Beans; Lupin Beans; Mung Bean; Lemon Thyme; Hops (High Protein); Nasturtium (GlutenFree); Zucchini Blossoms (Keto),False,False,False,False
Thaloria,Thaloria Fusion Medley,Peach; Pineapple; Lettuce; Beet Greens (GlutenFree),False,False,False,False
Thaloria,Thaloria Special GlutenFree,Nasturtium (GlutenFree); Coconut (GlutenFree); Kamut (GlutenFree); Turnip (GlutenFree),False,False,False,True
